Comment,Designator,Footprint,LCSC
100k EN-A hi (8.5V on),R4,R_0402_1005Metric,C25741
100k EN1 pu (5V_B),R31,R_0402_1005Metric,C25741
100k EN2 pu (5V_B),R32,R_0402_1005Metric,C25741
100k EN3 pu,R35,R_0402_1005Metric,C25741
100k vsense-lo,R11,R_0402_1005Metric,C25741
100n BST,"CA3,CB3",C_0402_1005Metric,C131394
100n CAP-VS,C1,C_0402_1005Metric,C131394
100n INA vs,C10,C_0402_1005Metric,C131394
100n LDO in,C6,C_0402_1005Metric,C131394
100n MCU vdd,C8,C_0402_1005Metric,C131394
100n U7 in,C13,C_0402_1005Metric,C131394
100n U8 in,C14,C_0402_1005Metric,C131394
100n VS-GND,C2,C_0402_1005Metric,C131394
100n at U4.A,C15,C_0402_1005Metric,C131394
100n sw debounce,C17,C_0402_1005Metric,C131394
100n vsense hold,C4,C_0402_1005Metric,C131394
100u hybrid 25V,CE1,CP_Elec_8x10,C454289
10k FAULT pu,R30,R_0402_1005Metric,C60490
10k NTC 3380K,R28,R_0402_1005Metric,C60490
10k NTC-top (3V3_SW),R27,R_0402_1005Metric,C60490
10k PGOOD_B pu (3V3_SW),R22,R_0402_1005Metric,C60490
10k Rp (3A adv),"R23,R24",R_0402_1005Metric,C60490
10k v5a-lo,R26,R_0402_1005Metric,C60490
10u 50V X7R,"CA51,CA52,CA53,CB51,CB52,CB53",C_1210_3225Metric,C77102
13k RC1,"RA5,RB5",R_0402_1005Metric,C25754
15A ATO,F1,FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165,C207061
16k5 EN-A lo (7.5V off),R5,R_0402_1005Metric,C226807
16k5 RT (606kHz),"RA1,RB1",R_0402_1005Metric,C226807
16k5 seq div lo,R34,R_0402_1005Metric,C226807
18p CILIM,"CA4,CB4",C_0402_1005Metric,C1549
1k LED,R29,R_0402_1005Metric,C11702
1n2 CC3,"CA10,CB10",C_0402_1005Metric,C107021
1u LDO in,C5,C_0603_1608Metric,C15849
1u LDO out,C9,C_0603_1608Metric,C15849
20k PGOOD_A pu (5V_A),R21,R_0402_1005Metric,C25765
20k RFB1,"RA3,RB3",R_0402_1005Metric,C25765
20k RILIM1 (~3A),R16,R_0402_1005Metric,C25765
20k RILIM2 (~3A),R17,R_0402_1005Metric,C25765
20k RILIM3 (~3A),R36,R_0402_1005Metric,C25765
20k seq div hi,R33,R_0402_1005Metric,C25765
220u poly 25mR,"CA7,CB7",CP_Elec_6.3x5.9,C128504
22u local,"CA111,CA112",C_1206_3216Metric,C12891
22u pi-out,"CB111,CB112",C_1206_3216Metric,C12891
28k7 ladder-mid,R2,R_0402_1005Metric,C304997
2A polyfuse,F2,Fuse_1812_4532Metric,C20812
2m 3W shunt,R20,R_2512_6332Metric,C108929
2u2 EN delay,C16,C_0603_1608Metric,C23630
2u2 LDO out,C7,C_0603_1608Metric,C23630
2u2 VCC,"CA2,CB2",C_0603_1608Metric,C23630
30k v5a-hi,R25,R_0402_1005Metric,C138008
348R RILIM (wc-min 6.3A),"RA2,RB2",R_0402_1005Metric,C852731
39p CC2,"CA9,CB9",C_0402_1005Metric,C106223
3k65 RFB2 (5.18V),RA4,R_0402_1005Metric,C416527
3k74 RFB2 (5.08V),RB4,R_0402_1005Metric,C15172
47n HGATE dv/dt (10ms),C3,C_0402_1005Metric,C82219
47n SS (4ms),"CA1,CB1",C_0402_1005Metric,C82219
47u 10V X7R,"CA61,CA62,CA63,CA64,CB61,CB62,CB63,CB64",C_1210_3225Metric,C84494
4k64 RC2,"RA6,RB6",R_0402_1005Metric,C60154
4k7 I2C pu (3V3_SW),"R18,R19",R_0402_1005Metric,C25900
680k vsense-hi,R10,R_0402_1005Metric,C163456
82k5 ladder-bot,R3,R_0402_1005Metric,C453769
887k ladder-top,R1,R_0402_1005Metric,C409935
8n2 CC1,"CA8,CB8",C_0402_1005Metric,C45186
AP2112K-3.3 (switched),U9,SOT-23-5,C51118
ATtiny1616-SN (816-compat),U3,SOIC-20W_7.5x12.8mm_P1.27mm,C614136
AUX 5V 2A,J6,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",C474881
AUX_CTL out (JST-GH),J8,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,C225118
B5819W schottky,D5,D_SOD-123,C8598
CSD18543Q3A HS,"QA1,QB1",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100
CSD18543Q3A LS,"QA2,QB2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100
CSD18543Q3A diode,Q2,VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100
CSD18543Q3A switch,Q3,VSON-8_3.3x3.3mm_P0.65mm_NexFET,C840100
INA226 (addr 0x40),U5,VSSOP-10_3x3mm_P0.5mm,C49851
LM5145 rail A,U1,VQFN-20_3.5x4.5_P0.5_LM5145RGY,C485912
LM5145 rail B,U2,VQFN-20_3.5x4.5_P0.5_LM5145RGY,C485912
LM74800-Q1,U4,WSON-12_3x3_P0.5_LM74800DRR,C3215600
MWSA1005S-3R3 16A,"LA1,LB1",L_Sunlord_MWSA1005S,C17700181
PANEL_SW,J2,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,C225118
PI GPIO harness,J7,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,C265111
SMBJ16A,D1,D_SMB,C353386
SMBJ5.0A,"D6,D7",D_SMB,C113974
TPS2557 ~3A,"U7,U8",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C130056
TPS2557 ~3A (always on),U10,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C130056
TPS7A1633 3V3 60V LDO,U6,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,C181239
UPDI prog (UPDI/3V3/GND),J11,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,C161691
USB4105-GF-A (TH shell),J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560
USBLC6-2SC6,"D2,D3,D8",SOT-23-6,C7519
USB_A port3 (3A),J13,USB_A_CNCTech_1001-011-01101_Horizontal,
USB_A radio1,J4,USB_A_CNCTech_1001-011-01101_Horizontal,
USB_A radio2,J5,USB_A_CNCTech_1001-011-01101_Horizontal,
XT60_BATT,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,C98732
from Pi USB1,J9,PinHeader_1x04_P2.54mm_Vertical,C705184
from Pi USB2,J10,PinHeader_1x04_P2.54mm_Vertical,C705184
from Pi USB3,J14,PinHeader_1x04_P2.54mm_Vertical,C705184
green status,D4,LED_0805_2012Metric,C2297
pi-filter 1u,L4,L_Chilisin_BMRx00060630,C2838328
